"","u.dispersal","bf0","bf1","bf2","LDD","mu.est","beta.est","alpha.est","dis.est","mu.inht","dis.inht","beta.inht","alpha.inht","scale.inht","shape.inht","mu.ss","beta.ss","size.ss","mu.sg","alpha.sg","dis.sg","size.sg","beta.sg","scale.sg","shape.sg","aht","bht","sigma","a.switch","b.switch","alpha.as","alpha.ag","dis.as","dis.ag","G.g","P.g","G.s","P.s","a.shape","a.sig","b.shape","b.sig"
"11",3592.923179,2.29479375,0.001314422,-0.124338712,0.303054707,-2.548,-0.6928,-0.03023,0.2352,5.1358346355087,1.09348,0.234019,-0.0180129,0.856999288332395,-0.0180911143288337,0.509951989,-0.048823632,0.13439549,6.31789289297318,-2.55764156632619,1.01804844588051,0.135382593260179,-0.0794305165863209,20.4642547615658,0.160723834395299,-0.800154456,0.008091572,0.148832025,-25.25893025,11.57145902,-0.713358488,-0.039158421,1.024522212,1.654399561,17.62249884,4.934223359,-5.901547393,3.268232431,-9.110457811,0.077253104,5.89249278,0.897557367
"12",2638.388105,1.206562717,0.001348245,-0.12578348,0.430198298,-2.565,-0.643,-0.02828,0.2026,4.84731699251585,1.54323,0.0107643,0.010937,0.832547302577528,0.0460732836021987,0.443008335,-0.036729763,0.142254929,3.33695414076208,-4.61805172235699,1.2486529623804,0.203301574460805,-0.172181339508798,21.0308951501066,0.180961971711522,-0.73362331,0.007487866,0.138552452,-65.89977675,28.55776056,-1.014977961,-0.104419668,1.021165102,1.461172207,11.56860339,4.909653345,2.314875219,3.199207132,-7.911264729,0.073408264,0.505548759,0.913558854
"13",1547.223371,1.337153302,0.001335373,-0.123831404,0.153935706,-2.499,-1.14,-0.03101,0.2362,4.80885385547876,1.3891,0.084013,-0.0215287,0.852923750792083,-0.102839394503023,0.519625039,-0.043553438,0.118139285,5.90239666562126,-4.36982343238338,1.29362915788882,0.153808579926617,-0.171323888120689,21.3017900595153,0.158533996058014,-0.955386589,0.008783666,0.156069074,-29.23372056,13.00216871,-0.498703348,-0.076558868,0.766434765,1.221956461,17.49149644,4.932159473,0.694803403,3.186293168,-4.15944117,0.075700804,4.058994763,0.895817347
"14",2222.715491,1.399243758,0.001341442,-0.124752984,0.341294673,-2.736,-1.007,-0.03078,0.2679,4.98967442389414,1.18726,-0.285146,-0.0259248,0.854451051783059,-0.0275215595806144,0.213339887,-0.02230246,0.153034998,5.50736827901469,-5.47045119446301,1.47073770099594,0.165107050587642,-0.116039628524973,21.1009050576815,0.12016749672876,-0.827922947,0.007957126,0.173508116,-27.76098237,12.48261053,-0.955416899,-0.131522479,0.846538061,1.725348909,7.870928524,4.86826943,-2.121342968,3.221855503,-13.7390917,0.075595881,12.61375797,0.902479346
"15",1839.683512,1.040042998,0.001353836,-0.126107783,0.329109248,-2.228,-0.9904,-0.04431,0.4281,4.75478901493634,1.24326,0.160453,-0.0384876,0.886276229813646,0.04454112674927,-0.133632479,-0.042286496,0.168642543,5.63680153052566,-0.795753858912603,0.648812509205324,0.162391841806975,-0.158492126961497,22.8728865309445,0.162811302541204,-0.89630907,0.008536111,0.174692611,-30.50503705,13.0907267,-0.63161708,-0.0932221,0.615829763,1.682362066,3.489421055,4.930594435,-0.18041671,3.344571961,-8.565087015,0.075136781,-1.061685366,0.903015221
"16",1205.500426,1.31934791,0.001373466,-0.125734082,0.323053709,-2.454,-0.6493,-0.02196,0.1204,5.1062573541927,1.15948,0.250324,-0.0832182,0.936235413254015,0.0111054626902997,0.546042681,-0.042175768,0.128016788,6.62939789853807,-3.24574072143082,1.16487819365207,0.126275740239286,-0.137118100175529,21.1141219662966,0.0750121859180092,-0.876729994,0.008275602,0.161588336,-35.59162982,15.25469443,-1.863571099,-0.171846451,0.889296378,1.677481824,20.377098,4.887935704,1.190719035,3.305351573,-7.360498985,0.077121836,-13.48937995,0.894125227
"17",797.4232731,1.907280872,0.001325346,-0.124051667,0.132001902,-2.509,-0.7813,-0.02853,0.08565,4.83855924706299,0.953902,-0.0300362,0.018984,0.785403050612768,-0.000163315369437667,0.504406914,-0.028048599,0.124225529,7.05372557862843,-4.34126812063978,1.29089114056692,0.132839441135372,-0.133551772252852,23.1803888208133,0.0708129335457964,-0.919374146,0.008653364,0.1716222,-67.83708669,29.5777704,-0.575514373,-0.124509904,1.006352343,1.526330518,15.45159339,4.868623329,3.212090094,3.333569765,-13.62984398,0.073536465,-0.904930389,0.896964325
"18",4078.378921,1.070877149,0.001314774,-0.124462745,0.486065123,-2.585,-0.4729,-0.02734,0.2814,4.9190200219072,1.1104,0.136675,0.00543232,0.883594148243527,-0.0909603692147594,0.819272499,-0.038740708,0.128694647,4.54574821716275,-10.334577353649,1.78038377713699,0.1911972540284,-0.15624443840006,21.5236304092832,0.144584501328378,-0.812478538,0.008219712,0.145605918,-53.11249045,22.74220693,-1.697900551,-0.122829211,0.755411468,1.389863373,15.60453396,4.903910826,-1.54910774,3.197580756,-3.137126335,0.080132684,2.346061996,0.892404582
"19",1354.211848,1.111658073,0.001326407,-0.123981533,0.295450564,-2.719,-0.5067,-0.01589,0.02473,4.920469719066,1.81495,-0.0717266,-0.0914883,0.927387243386528,-0.0337886488176251,0.641338857,-0.033666867,0.121160274,4.82767285617201,-9.50913185774851,1.68863334817999,0.181275999953879,-0.0954782898166682,20.7488603219506,0.146467983753085,-0.818097845,0.008298013,0.164774894,-39.70813475,17.47640123,-1.450458285,-0.055020518,0.768272388,1.355282451,-1.878563573,4.903866896,-9.838935585,3.328113687,-13.39594048,0.080494568,-5.477475129,0.877900463
"20",1585.68849,1.108430348,0.001344295,-0.124614292,0.320082982,-2.602,-0.4815,-0.02746,0.2322,4.97993822071925,1.29143,-0.265417,-0.114365,0.905966556295791,0.0468217767545865,0.325479339,-0.040495789,0.143248308,6.75347052322617,-1.31696943232877,0.816054875998009,0.171013928449353,-0.214240517939529,22.125606617619,0.0906319555591122,-0.968520615,0.00861098,0.170738275,-57.09610811,24.93326991,-0.334112489,-0.094274782,1.121784591,1.480377245,15.05341084,4.902974757,0.348028,3.222229238,-16.72370215,0.079169556,-2.057765158,0.880397586
